Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element	Cost Centre / WBS Element Description	Merchant Type	Merchant Type Description	Purpose
ECONOMIC DEVELOPMENT & CULTURE	2774-4	2013-11-29	2013-12-03	METRO #759	23.52	CAD	23.52	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"EGGS, SUGAR, BUTTER, FLOUR"
ECONOMIC DEVELOPMENT & CULTURE	2789-5	2013-12-09	2013-12-11	METRO #759	22.36	CAD	22.36	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"BAKING SUPPLIES - BUTTER, MILK, PAN"
ECONOMIC DEVELOPMENT & CULTURE	2795-8	2013-12-12	2013-12-16	METRO #759	32.37	CAD	32.37	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"HOGMANAY SUPPLIES - JAM, LEMON"
ECONOMIC DEVELOPMENT & CULTURE	2808-1	2013-12-23	2013-12-27	METRO #759	17.94	CAD	17.94	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5411	"Grocery Stores, Supermarkets"	"BAKING SUPPLIES - BUTTER, PIE CRUST"
					113.78	CAD	113.78	CAD							
"PARKS, FORESTRY & RECREATION"	2785-8	2013-12-05	2013-12-09	CDN TIRE STORE #00459	20.32	CAD	20.32	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	STEP STOOL FOR SUPPLY OFFICE
"PARKS, FORESTRY & RECREATION"	2793-2	2013-12-12	2013-12-13	VAC 'S' MART INC	28.25	CAD	28.25	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5722	Household Appliance Stores	VACUUM BAGS
"PARKS, FORESTRY & RECREATION"	2795-9	2013-12-13	2013-12-16	LOOK SIGNS	565.00	CAD	565.00	CAD	4424	CONTRACTED SERVICES - GENERAL	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	7394	"Equipment Rental and Leasing Services, F"	TEMPORARY EXTERIOR SIGNS INSTALLED
"PARKS, FORESTRY & RECREATION"	2796-3	2013-12-12	2013-12-17	CANADA CURLING STONE C	239.94	CAD	239.94	CAD	4403	CONTRACTED SERVICES - MACHINERY AND EQUI	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5941	Sporting Goods Stores	BLADES SHARPENED AND SET UP
"PARKS, FORESTRY & RECREATION"	2798-6	2013-12-17	2013-12-18	ACKLANDS-GRAINGER INC	369.62	CAD	369.62	CAD	2575	ELECTRICAL SUPPLIES	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5085	Industrial Supplies Not Elsewhere Classi	CEILING LIGHTBULBS
"PARKS, FORESTRY & RECREATION"	2804-3	2013-12-19	2013-12-23	CDN TIRE STORE #00459	19.19	CAD	19.19	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	P12182	LEASIDE CURLING-SPEC FACILITIES-OPS	5200	Home Supply Warehouse	ICE THERMOMETER
					"1,242.32"	CAD	"1,242.32"	CAD							
"PARKS, FORESTRY & RECREATION"	2791-2	2013-12-10	2013-12-12	D   G VACUUM REPAIR SE	303.41	CAD	303.41	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P07700	GLEN LONG CC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	REPAIRS TO EQUIPMENT
"PARKS, FORESTRY & RECREATION"	2791-3	2013-12-10	2013-12-12	CDN TIRE STORE #00192	93.76	CAD	93.76	CAD	2710	GENERAL HARDWARE	P07696	ANTIBES CC-OPERATIONS	5200	Home Supply Warehouse	"CFL 8 PK, GOLF GREEN SPREAD"
"PARKS, FORESTRY & RECREATION"	2795-10	2013-12-13	2013-12-16	THE HOME DEPOT #7078	29.36	CAD	29.36	CAD	2710	GENERAL HARDWARE	P06689	NORTHWOOD CC-OPERATIONS	5200	Home Supply Warehouse	5GAL GAS CAN
"PARKS, FORESTRY & RECREATION"	2798-7	2013-12-16	2013-12-18	D   G VACUUM REPAIR SE	124.30	CAD	124.30	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	P06685	EARL BALES CC-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	REPAIRS TO EQUIPMENT
"PARKS, FORESTRY & RECREATION"	2798-8	2013-12-16	2013-12-18	D   G VACUUM REPAIR SE	213.52	CAD	213.52	CAD	2710	GENERAL HARDWARE	P07704	MITCHELL FIELD-OPERATIONS	7699	Miscellaneous Repair Shops and Related S	"24 FT EXTENSION POOL,POLY EXTEN DUSTER HEAD"
"PARKS, FORESTRY & RECREATION"	2798-9	2013-12-16	2013-12-18	CDN TIRE STORE #00126	204.00	CAD	204.00	CAD	2710	GENERAL HARDWARE	P06684	DRIFTWOOD CC-OPERATIONS	5200	Home Supply Warehouse	"EDGEGUARD,AV PUSHER 21""D,3PK STOPPER"
					968.35	CAD	968.35	CAD							
EMERGENCY MEDICAL SERVICES	2780-7	2013-12-04	2013-12-05	CDW CANADA	63.81	CAD	63.81	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5734	Computer Software Stores	**MORE**  3FT 10/100BT CAT5 CROSSO
EMERGENCY MEDICAL SERVICES	2801-5	2013-12-19	2013-12-20	GRAYBAR ELECTRIC ONT L	644.10	CAD	644.10	CAD	2199	MISCELLANEOUS PARTS	B31100	COMMUNICATIONS SYSTEMS SUPPORT	5065	Electrical Parts and Equipment	NYLON TIES
					707.91	CAD	707.91	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2785-9	2013-12-07	2013-12-09	MUSEE POINTE-A-CALLIER	16.00	CAD	16.00	CAD	4118	TICKETS AND ADMISSION FEES	AH0088	HS-MH-PROGRAM SUPPORT-METRO HALL	7991	Tourist Attractions and Exhibits	MUSEUM ADMISSION FEE
					16.00	CAD	16.00	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-8	2013-11-29	2013-12-02	THE HOME DEPOT #7073	73.35	CAD	73.35	CAD	2710	GENERAL HARDWARE	AH0155	CD-AM-FACILITY MGMT-CHAPLIN CRESENT	5200	Home Supply Warehouse	**MORE**  JOHN E/M ST.
ECONOMIC DEVELOPMENT & CULTURE	2780-8	2013-12-03	2013-12-05	THE HOME DEPOT #7073	12.02	CAD	12.02	CAD	2530	BLDG REPAIRS & RENOVATION SUPPLIES	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5200	Home Supply Warehouse	FLEXBEAD 25'
ECONOMIC DEVELOPMENT & CULTURE	2781-2	2013-12-04	2013-12-06	THE HOME DEPOT #7073	19.20	CAD	19.20	CAD	2710	GENERAL HARDWARE	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5200	Home Supply Warehouse	HAND SANDER
ECONOMIC DEVELOPMENT & CULTURE	2791-4	2013-12-10	2013-12-12	THE HOME DEPOT #7073	29.32	CAD	29.32	CAD	2715	PAINT SUPPLIES	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5200	Home Supply Warehouse	**MORE**  PRIMER
					133.89	CAD	133.89	CAD							
"PARKS, FORESTRY & RECREATION"	2804-4	2013-12-20	2013-12-23	THE HOME DEPOT #7129	22.54	CAD	22.54	CAD	2710	GENERAL HARDWARE	P00415	N-WEST3-TURF&HORT	5200	Home Supply Warehouse	**MORE**  BLK. MAILBOX
					22.54	CAD	22.54	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2776-12	2013-12-03	2013-12-04	PFW COUNTRY STORE INTE	609.07	CAD	609.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0098	HS-MH-PUBLIC/COMMUNITY-MONTGOMERY	5995	Pet Shops - Pet Food and Supplies	FIREWOOD & KINDLING
ECONOMIC DEVELOPMENT & CULTURE	2780-9	2013-12-04	2013-12-05	FOODLAND #6424	93.92	CAD	93.92	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0098	HS-MH-PUBLIC/COMMUNITY-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	"FRUIT, CREAM, JUICE, MILK, GRANOLA, TIDE"
ECONOMIC DEVELOPMENT & CULTURE	2781-3	2013-12-05	2013-12-06	RCSS MILTON #2810	34.84	CAD	34.84	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0098	HS-MH-PUBLIC/COMMUNITY-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	"VEGETABLES, WHIP CREAM"
ECONOMIC DEVELOPMENT & CULTURE	2791-5	2013-12-11	2013-12-12	FOODLAND #6424	168.56	CAD	168.56	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0098	HS-MH-PUBLIC/COMMUNITY-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	"FRUIT, VEGETABLES, ICING SUGAR, JUICE, TOSTITOS"
ECONOMIC DEVELOPMENT & CULTURE	2800-5	2013-12-18	2013-12-19	FOODLAND #6424	286.26	CAD	286.26	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0098	HS-MH-PUBLIC/COMMUNITY-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	"FRUIT, VEGETABLES, EGGS, SUGAR, JUICE, DISH SOAP"
ECONOMIC DEVELOPMENT & CULTURE	2800-6	2013-12-18	2013-12-19	FOODLAND #6424	19.16	CAD	19.16	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0115	HS-MH-RETAIL-MONTGOMERY	5411	"Grocery Stores, Supermarkets"	CREAM
					"1,211.81"	CAD	"1,211.81"	CAD							
"PARKS, FORESTRY & RECREATION"	2773-9	2013-11-30	2013-12-02	HUDCO ELECTRIC SUPPLY	12.43	CAD	12.43	CAD	3080	M & E - HAND TOOLS	P00853	ALNESS YD-TRADES	5065	Electrical Parts and Equipment	TOOLS
"PARKS, FORESTRY & RECREATION"	2776-13	2013-12-02	2013-12-04	THE HOME DEPOT #7129	33.19	CAD	33.19	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	**MORE**  ENRGZR 9V-1
"PARKS, FORESTRY & RECREATION"	2780-10	2013-12-03	2013-12-05	THE HOME DEPOT #7129	75.04	CAD	75.04	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	**MORE**  SCREWS
"PARKS, FORESTRY & RECREATION"	2781-4	2013-12-04	2013-12-06	THE HOME DEPOT #7129	40.48	CAD	40.48	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	**MORE**  SCREWS
"PARKS, FORESTRY & RECREATION"	2781-5	2013-12-04	2013-12-06	THE HOME DEPOT #7129	20.14	CAD	20.14	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	SCREWS
"PARKS, FORESTRY & RECREATION"	2781-6	2013-12-04	2013-12-06	THE HOME DEPOT #7129	-16.78	CAD	-16.78	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	SCREWS
"PARKS, FORESTRY & RECREATION"	2785-10	2013-12-06	2013-12-09	HUDCO ELECTRIC SUPPLY	24.86	CAD	24.86	CAD	2575	ELECTRICAL SUPPLIES	P10908	NY SKI CENTRE-OPERATIONS	5065	Electrical Parts and Equipment	FUSES
"PARKS, FORESTRY & RECREATION"	2785-11	2013-12-06	2013-12-09	HUDCO ELECTRIC SUPPLY	70.85	CAD	70.85	CAD	2575	ELECTRICAL SUPPLIES	P10908	NY SKI CENTRE-OPERATIONS	5065	Electrical Parts and Equipment	FUSES
"PARKS, FORESTRY & RECREATION"	2785-12	2013-12-07	2013-12-09	THE HOME DEPOT #7129	53.97	CAD	53.97	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5200	Home Supply Warehouse	**MORE**  FLAT SOC UNC
"PARKS, FORESTRY & RECREATION"	2787-5	2013-12-02	2013-12-10	WOLSELEY CDA INC-HUDSO	11.90	CAD	11.90	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	1711	"Air Conditioning, Heating, and Plumbing"	BUSHING
"PARKS, FORESTRY & RECREATION"	2787-6	2013-12-09	2013-12-10	PRINCESS AUTO LTD.	77.94	CAD	77.94	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	"SCRAPER, ANTENNA RECON"
"PARKS, FORESTRY & RECREATION"	2789-6	2013-12-10	2013-12-11	PRINCESS AUTO LTD.	-49.70	CAD	-49.70	CAD	3080	M & E - HAND TOOLS	P10908	NY SKI CENTRE-OPERATIONS	5085	Industrial Supplies Not Elsewhere Classi	REFUND
"PARKS, FORESTRY & RECREATION"	2793-3	2013-12-11	2013-12-13	METRO #712	10.16	CAD	10.16	CAD	2710	GENERAL HARDWARE	P10908	NY SKI CENTRE-OPERATIONS	5411	"Grocery Stores, Supermarkets"	BATTERIES
"PARKS, FORESTRY & RECREATION"	2796-4	2013-12-16	2013-12-17	VISCO INDUSTRIAL (BARR	105.80	CAD	105.80	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P10908	NY SKI CENTRE-OPERATIONS	5533	"Automotive Parts, Accessories Stores"	BLOCK HEATER
"PARKS, FORESTRY & RECREATION"	2796-5	2013-12-16	2013-12-17	MARK'S WORK WEARHOUSE#	305.08	CAD	305.08	CAD	2660	FOOTWEAR	P10908	NY SKI CENTRE-OPERATIONS	5651	Family Clothing Stores	BOOTS
					775.36	CAD	775.36	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2781-7	2013-12-05	2013-12-06	MICHAELS #4910	33.15	CAD	33.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5945	"Game, Toy, and Hobby Shops"	"STYRAFOAM BALLS, XMAS RIBBON, CROCHET HOOK"
ECONOMIC DEVELOPMENT & CULTURE	2789-7	2013-12-10	2013-12-11	NORTHERN HARDWOOD INC	774.05	CAD	774.05	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5211	"Building Materials, Lumber Stores"	FIREWOOD & KINDLING
ECONOMIC DEVELOPMENT & CULTURE	2793-4	2013-12-12	2013-12-13	WBBS 200           QPS	321.03	CAD	321.03	CAD	2020	BOOK & MAGAZINE SUBSCRIPTIONS	AH0086	HS-MH-PROGRAM SUPPORT-ZION SCHOO	5942	Book Stores	BOOKS FOR CAMP AGE CHILDREN/CATS CRADLE INTRUCTION
ECONOMIC DEVELOPMENT & CULTURE	2810-7	2013-12-27	2013-12-30	LOBLAWS #1010	22.33	CAD	22.33	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0096	HS-MH-PUBLIC/COMMUNITY-GIBSON HOU	5411	"Grocery Stores, Supermarkets"	"PASTRY SHELLS, LEMONS"
					"1,150.56"	CAD	"1,150.56"	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-10	2013-12-01	2013-12-02	EMA*EMMA EMAIL MARKETI	49.05	CAD	45.00	USD	4085	PROF & TECH-MGMT	ED0150	EDC MARKETING TACTICS	5968	Direct Marketing - Continuity/Subscripti	EMAIL MARKETING SERVICE - INVITATION DISTRIBUTION
ECONOMIC DEVELOPMENT & CULTURE	2798-10	2013-12-17	2013-12-18	ISTOCK *INTERNATIONAL	652.29	CAD	652.29	CAD	4082	PHOTO/VIDEO SERVICES	ED0150	EDC MARKETING TACTICS	5971	Art Dealers and Galleries	ONLINE STOCK PHOTOGRAPHY CREDITS
					701.34	CAD	652.29	CAD							
							45.00	USD							
ECONOMIC DEVELOPMENT & CULTURE	2773-11	2013-11-28	2013-12-02	SHOPPERS DRUG MART #12	20.99	CAD	20.99	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	"BUTTER, CREAM, EGGS"
ECONOMIC DEVELOPMENT & CULTURE	2780-11	2013-12-03	2013-12-05	SHOPPERS DRUG MART #12	14.01	CAD	14.01	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	BUTTER
ECONOMIC DEVELOPMENT & CULTURE	2791-6	2013-12-10	2013-12-12	SHOPPERS DRUG MART #12	7.79	CAD	7.79	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	AH0104	HS-MH-PUBLIC/COMMUNITY-SPADINA	5912	"Drug Stores, Pharmacies"	BUTTER & DISH WASHING SOAP
					42.79	CAD	42.79	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2798-11	2013-12-17	2013-12-18	ONTARIO PROFESSIONAL P	680.98	CAD	680.98	CAD	4760	MEMBERSHIP FEES	ED0116	BUSINESS ADVISORY AND SUPPORT SERVICES	8699	"Organizations, Membership - Not Elsewher"	MEMBERSHIP
					680.98	CAD	680.98	CAD							
311 TORONTO	2806-4	2013-12-22	2013-12-24	PIZZA PIZZA 055	85.52	CAD	85.52	CAD	4820	BUSINESS MEETING EXPENSES	TO9301	CONTACT CENTRE	5814	Quick Payment Service - Fast-Food Restau	FOOD PURCHASED FOR STAFF RE: DEC STORM 2013
					85.52	CAD	85.52	CAD							
"SHELTER, SUPPORT & HOUSING ADMINISTRATION"	2791-7	2013-12-11	2013-12-12	ACCESS ALLIANCE MULTIC	169.50	CAD	169.50	CAD	4086	TECH SRV TRANSL/INT	F01524	BIRKDALE RES - CLIENT SERVICES	8398	"Organizations, Charitable and Social Ser"	CLIENT TRANSLATION SERVICES
					169.50	CAD	169.50	CAD							
LONG TERM CARE HOMES	2773-12	2013-11-29	2013-12-02	MR PRINTER	88.93	CAD	88.93	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3A083	BENDALE ACRES-PS-PS	7338	"Quick Copy, Reproduction, and Blueprinti"	RESIDENT ACTIVITY CALENDAR PRINTING
LONG TERM CARE HOMES	2785-13	2013-12-05	2013-12-09	WAL-MART #1029	62.15	CAD	62.15	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5411	"Grocery Stores, Supermarkets"	PROGRAMS & SERVICES MOVIES
LONG TERM CARE HOMES	2791-8	2013-12-10	2013-12-12	SPECTRUM EDUCATIONAL S	9.19	CAD	9.19	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5943	"Office, School Supply, and Stationery St"	BINGO BALLS PROGRAM & SERVICES
LONG TERM CARE HOMES	2791-9	2013-12-11	2013-12-12	SPECTRUM EDUCATIONAL S	16.18	CAD	16.18	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5943	"Office, School Supply, and Stationery St"	BINGO BALLS PROGRAM & SERVICES
LONG TERM CARE HOMES	2795-11	2013-12-12	2013-12-16	CUSTOM DOOR   LOCK SER	80.37	CAD	80.37	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	D3A061	BENDALE ACRES-MT-OA	5533	"Automotive Parts, Accessories Stores"	KEY CUTTING FOR BA
LONG TERM CARE HOMES	2796-6	2013-12-16	2013-12-17	NCH CANADA INC	570.65	CAD	570.65	CAD	2499	OTHER CHEMICALS	D3A061	BENDALE ACRES-MT-OA	5085	Industrial Supplies Not Elsewhere Classi	BOILER CHEMICALS
					827.47	CAD	827.47	CAD							
"PARKS, FORESTRY & RECREATION"	2773-13	2013-11-29	2013-12-02	THE HOME DEPOT #7073	144.28	CAD	144.28	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5200	Home Supply Warehouse	**MORE**  4IN PHORCHID
"PARKS, FORESTRY & RECREATION"	2789-8	2013-12-10	2013-12-11	VALLEYVIEW GARDENS	209.05	CAD	209.05	CAD	2560	AGRICULTURE & BOTANICAL SUPPLIES	P00113	ALLAN GDNS CONS-PLANT PRODUCTION	5261	Lawn and Garden Supply Stores	PLANTS FOR CITY HALL
					353.33	CAD	353.33	CAD							
EMERGENCY MEDICAL SERVICES	2776-14	2013-12-03	2013-12-04	25 DOCKSIDE DRIVE  QPS	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING - PAN AM-CORUS
EMERGENCY MEDICAL SERVICES	2785-14	2013-12-06	2013-12-09	25 DOCKSIDE DRIVE  QPS	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING - PAN AM-CORUS
EMERGENCY MEDICAL SERVICES	2804-5	2013-12-22	2013-12-23	SWISS CHALET #1131	273.76	CAD	273.76	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	B33100	COMMUNICATION CENTRE OPERATIONS	5812	"Eating Places, Restaurants"	EMERGENCY STAFF MEAL - CACC
					303.76	CAD	303.76	CAD							
"PARKS, FORESTRY & RECREATION"	2780-12	2013-12-04	2013-12-05	PRINCESS AUTO	71.17	CAD	71.17	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	"SOCKET SET,TRAILER CABLE EXTENSION"
"PARKS, FORESTRY & RECREATION"	2793-5	2013-12-12	2013-12-13	PRINCESS AUTO	57.64	CAD	57.64	CAD	2710	GENERAL HARDWARE	P12783	KIPLING YD-N-FAC. & MECH.SVCES	5085	Industrial Supplies Not Elsewhere Classi	"TAPE FISH,33 PC SCREWDRIVER BITS,CLAMPS,SOCKETS"
"PARKS, FORESTRY & RECREATION"	2804-6	2013-12-20	2013-12-23	LOCK UP SERVICES	50.91	CAD	50.91	CAD	2730	LOCKS	P12783	KIPLING YD-N-FAC. & MECH.SVCES	7399	Business Services - Not Elsewhere Classi	SHOP SUPPLIES
					179.72	CAD	179.72	CAD							
EMERGENCY MEDICAL SERVICES	2793-6	2013-12-12	2013-12-13	TORONTO PARKING AUTHOR	6.00	CAD	6.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46776	MANGERS - HUB ADMIN	7523	Automobile Parking Lots and Garages	PARKING - MEETING WITH RESCU
EMERGENCY MEDICAL SERVICES	2801-6	2013-12-18	2013-12-20	AIR CAN  0142128849598	"1,278.39"	CAD	"1,278.39"	CAD	150043	PREPAID EXPENSES		#N/A	3009	Air Canada	"AIRFARE - NAEMSP IN ARIZONA JAN 14-19, 2014"
EMERGENCY MEDICAL SERVICES	2806-5	2013-12-22	2013-12-24	TIM HORTONS #3623# QPS	46.61	CAD	46.61	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	B46776	MANGERS - HUB ADMIN	5814	Quick Payment Service - Fast-Food Restau	FOOD & BEVERGE - ICE STORM
EMERGENCY MEDICAL SERVICES	2806-6	2013-12-24	2013-12-24	NAEMSP	489.69	CAD	450.00	USD	150043	PREPAID EXPENSES		#N/A	8299	Educational Services	CONF REGISTR NAEMSP CONF ARIZONA JAN 14-19/14
EMERGENCY MEDICAL SERVICES	2806-7	2013-12-24	2013-12-24	NAEMSP	174.11	CAD	160.00	USD	150043	PREPAID EXPENSES		#N/A	8299	Educational Services	2014 MEMBERSHIP RENEWAL
					"1,994.80"	CAD	"1,331.00"	CAD							
							610.00	USD							
"PARKS, FORESTRY & RECREATION"	2787-7	2013-12-09	2013-12-10	WORKS DEPARTMENT TPA	113.38	CAD	113.38	CAD	2730	LOCKS	P00070	S-WEST-PRUNING/REMOVAL	9399	Government Services - Not Elsewhere Clas	5 OFFICE KEYS
					113.38	CAD	113.38	CAD							
"PARKS, FORESTRY & RECREATION"	2785-15	2013-12-06	2013-12-09	WAL-MART #3159	31.73	CAD	31.73	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	FOOD PROGRAM SUPPLIES
					31.73	CAD	31.73	CAD							
ECONOMIC DEVELOPMENT & CULTURE	2773-14	2013-11-28	2013-12-02	THE HOME DEPOT #7073	44.57	CAD	44.57	CAD	2545	PLASTICS & RUBBER SUPPLIES	AH0153	CD-AM-FACILITY MGMT-MCKENZIE HOUSE	5200	Home Supply Warehouse	**MORE**  GOOF-OFF
ECONOMIC DEVELOPMENT & CULTURE	2773-15	2013-11-28	2013-12-02	PLASTIC WORLD	53.11	CAD	53.11	CAD	2545	PLASTICS & RUBBER SUPPLIES	AH0153	CD-AM-FACILITY MGMT-MCKENZIE HOUSE	5085	Industrial Supplies Not Elsewhere Classi	PLASTIC POLISH
ECONOMIC DEVELOPMENT & CULTURE	2773-16	2013-11-29	2013-12-02	THE HOME DEPOT #7073	12.41	CAD	12.41	CAD	2545	PLASTICS & RUBBER SUPPLIES	AH0153	CD-AM-FACILITY MGMT-MCKENZIE HOUSE	5200	Home Supply Warehouse	GGSPRYGEL
					110.09	CAD	110.09	CAD							
PUBLIC HEALTH	2781-8	2013-12-05	2013-12-06	PAYPAL *IIBA	"2,091.89"	CAD	"1,955.49"	USD	4760	MEMBERSHIP FEES	PH1051	INFORMATION TECHNOLOGY	8398	"Organizations, Charitable and Social Ser"	"MEMBERSHIP FEES, #2971-3433-4018-9187"
					"2,091.89"	CAD	"1,955.49"	USD							
"PARKS, FORESTRY & RECREATION"	2781-9	2013-12-04	2013-12-06	METRO #704	9.03	CAD	9.03	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P12052	HILLTOP-COMM CTR-PRGM SUPPORT	5411	"Grocery Stores, Supermarkets"	BATTERIES FOR LABEL MAKER
"PARKS, FORESTRY & RECREATION"	2789-9	2013-12-10	2013-12-11	TOYSRUS.CA	182.31	CAD	182.31	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P05098	HILLTOP CS-SUMMER CAMPS	5965	Direct Marketing - Combination Catalog a	TRAIN SET
					191.34	CAD	191.34	CAD							
EMERGENCY MEDICAL SERVICES	2795-12	2013-12-13	2013-12-16	DRI WWW ELEMENT5 INFO	545.00	CAD	545.00	CAD	3420	COMPUTERS - SOFTWARE	B15020	DIVISIONAL CHARGES	7372	"Computer Programming, Integrated Systems"	IMPORT WIZARD LICENSE SOFTWARE UPGRADE
EMERGENCY MEDICAL SERVICES	2798-12	2013-12-16	2013-12-18	DRI ASAP UTILITIES	432.90	CAD	432.90	CAD	3420	COMPUTERS - SOFTWARE	B15020	DIVISIONAL CHARGES	7372	"Computer Programming, Integrated Systems"	ASAP UTILITIES UPGRADE
EMERGENCY MEDICAL SERVICES	2798-13	2013-12-16	2013-12-18	DRI EXTENDED DOWNLOAD	23.34	CAD	23.34	CAD	3420	COMPUTERS - SOFTWARE	B15020	DIVISIONAL CHARGES	7372	"Computer Programming, Integrated Systems"	DOWNLOAD PROTECTION
					"1,001.24"	CAD	"1,001.24"	CAD							
