Division	Batch-Transaction ID	Transaction Date	Card Posting Dt	Merchant Name	Transaction Amt.	Trx Currency	Original Amount	Original Currency	G/L Account	G/L Account Description	Cost Centre / WBS Element / Order #	Cost Centre / WBS Element / Order # Description	Merchant Type	Merchant Type Description	Purpose	
LONG TERM CARE HOMES	3237-7	2014-11-05	2014-11-06	SPECTRUM EDUCATIONAL S	153.51	CAD	153.51	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D6A500	CSS-BENDALE ACRES-DC	5943	"Office, School Supply, and Stationery St"	RESIDENT ACTIVITY SUPPLIES	
LONG TERM CARE HOMES	3243-10	2014-11-11	2014-11-12	SPECTRUM EDUCATIONAL S	439.85	CAD	439.85	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	D6A500	CSS-BENDALE ACRES-DC	5943	"Office, School Supply, and Stationery St"	RESIDENT ACTIVITY SUPPLIES	
LONG TERM CARE HOMES	3250-11	2014-11-14	2014-11-17	PUBLICATIONS - MAIL OR	185.58	CAD	185.58	CAD	2082	HEALTH & SAFETY SUPPLIES	D3A061	BENDALE ACRES-MT-OA	9399	Government Services - Not Elsewhere Clas	FIRE CODE COMPENDIUM	
LONG TERM CARE HOMES	3253-4	2014-11-17	2014-11-19	HENRY'S ONLINE	180.76	CAD	180.76	CAD	2080	PHOTOGRAPHIC AND VIDEO SUPPLIES	D3A083	BENDALE ACRES-PS-PS	5946	Camera and Photographic Supply Stores	PHOTO PRINTER PAPER	
LONG TERM CARE HOMES	3264-3	2014-11-25	2014-11-26	SQ *RYCKMAN   MCPAKE L	229.51	CAD	229.51	CAD	4463	CONTRACTED SERVICES - LOCKING SYSTEMS	D3A061	BENDALE ACRES-MT-OA	8999	Professional Services - Not Elsewhere Cl	KEY CUTTING	
LONG TERM CARE HOMES	3264-4	2014-11-25	2014-11-26	HUNTS HEALTHCARE INC	202.50	CAD	202.50	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB EQUIP HOT PAKS	
LONG TERM CARE HOMES	3264-5	2014-11-25	2014-11-26	HUNTS HEALTHCARE INC	333.54	CAD	333.54	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB SUP-COMMODE	
LONG TERM CARE HOMES	3264-6	2014-11-25	2014-11-26	HUNTS HEALTHCARE INC	110.00	CAD	110.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB EQUIP-TOILET SAFETY FRAME	
LONG TERM CARE HOMES	3264-7	2014-11-25	2014-11-26	HUNTS HEALTHCARE INC	255.00	CAD	255.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB EQUIP-STATIONARY COMMODE	
LONG TERM CARE HOMES	3264-8	2014-11-25	2014-11-26	HUNTS HEALTHCARE INC	250.00	CAD	250.00	CAD	2860	ASSISTED DEVICES & OTHER AIDS	D3A083	BENDALE ACRES-PS-PS	5712	"Equipment, Furniture, and Home Furnishin"	REHAB EQUIP-WHEELED COMMODE	
					"2,792.42"	CAD	"2,792.42"	CAD								
EMERGENCY MEDICAL SERVICES	3260-7	2014-11-21	2014-11-24	155 QUEENS QUAY	15.00	CAD	15.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46830	PAN AM GAMES	7523	Automobile Parking Lots and Garages	PARKING - PAN AM	
					15.00	CAD	15.00	CAD								
"PARKS, FORESTRY & RECREATION"	3257-10	2014-11-20	2014-11-21	KOTYCK BROS LIMITED	957.11	CAD	957.11	CAD	2535	PLUMBING SUPPLIES	P12783	KIPLING YD-N-FAC. & MECH.SVCES	1520	General Contractors - Residential and Co	SHOP SUPPLIES	
					957.11	CAD	957.11	CAD								
"PARKS, FORESTRY & RECREATION"	3243-11	2014-11-10	2014-11-12	THE HOME DEPOT #7078	16.09	CAD	16.09	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	P00853	ALNESS YD-TRADES	5200	Home Supply Warehouse	ASSTBUNGEE	
					16.09	CAD	16.09	CAD								
EMERGENCY MEDICAL SERVICES	3252-2	2014-11-17	2014-11-18	IMPARK00090289U	30.00	CAD	30.00	CAD	4770	PARKING EXPENSES (INTOWN)	B46753	OPS - SERVICE DISTRICT 1	7523	Automobile Parking Lots and Garages	PARKING FTO ARBITRATION	
EMERGENCY MEDICAL SERVICES	3265-4	2014-11-25	2014-11-27	CDW CANADA	597.13	CAD	597.13	CAD	*****	RECREATIONAL & EDUCATIONAL SUPPLIES	*****	"MULTIPLE COST CENTRES, WBS ELEMENTS OR WORK ORDERS"	5734	Computer Software Stores	JABRA FREEWAY WRL BT CAR	
					627.13	CAD	627.13	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3240-4	2014-11-06	2014-11-07	DJ RAIN  CO LTD	122.61	CAD	122.61	CAD	4409	CONTR SRV - LANDSCPG	AH0093	HS-MH-PROGRAM SUPPORT-COLBORNE L	0780	Horticultural and Landscaping Services	WINTERIZE IRRIGATION SYSTEM	
ECONOMIC DEVELOPMENT & CULTURE	3265-5	2014-11-26	2014-11-27	ABBOTT	232.78	CAD	232.78	CAD	2990	GIFT SHOP ITEMS FOR RESALE	AH0119	HS-MH-RETAIL-COLBORNE L	5719	Miscellaneous House Furnishing Specialty	"ITEMS (IE.ORNAMENTS, ETC.) FOR GIFT SHOP RESALE"	
					355.39	CAD	355.39	CAD								
EMERGENCY MEDICAL SERVICES	3252-3	2014-11-16	2014-11-18	INSOMNIA CAFE	832.52	CAD	832.52	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	B46751	OPS - SERVICE DISTRICT 4	5812	"Eating Places, Restaurants"	BREAKFAST FOR CHRISTMAS PARADE VOLUNTEERS	
					832.52	CAD	832.52	CAD								
"PARKS, FORESTRY & RECREATION"	3242-5	2014-11-07	2014-11-10	RCSS 1077	226.60	CAD	226.60	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P11584	OCONNOR CC-SPORTS	5411	"Grocery Stores, Supermarkets"	REFRESHMENTS FOR YOUTH EVENT	
"PARKS, FORESTRY & RECREATION"	3250-12	2014-11-13	2014-11-17	WAL-MART #3159	163.59	CAD	163.59	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P06074	OCONNOR CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	PAINT FOR CRAFTS	
					390.19	CAD	390.19	CAD								
"PARKS, FORESTRY & RECREATION"	3228-4	2014-10-30	2014-11-03	WAL-MART #3159	91.83	CAD	91.83	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P07895	MCGREGOR PARK-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	SIMPLY COOKING PROG	
"PARKS, FORESTRY & RECREATION"	3228-5	2014-10-31	2014-11-03	MARCHANT'S SCHOOL SPOR	104.43	CAD	104.43	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	5941	Sporting Goods Stores	"PINNIES, PYLONS, BALL BAGS"	
"PARKS, FORESTRY & RECREATION"	3237-8	2014-11-05	2014-11-06	MARCHANT'S SCHOOL SPOR	83.07	CAD	83.07	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P11225	MCGREGOR PARK-SPORTS	5941	Sporting Goods Stores	"PINNIES, PYLONS"	
					279.33	CAD	279.33	CAD								
CITY CLERK'S OFFICE	3253-5	2014-11-17	2014-11-19	BEST BUY.CA # 900	417.52	CAD	417.52	CAD	3030	M & E - OFFICE	GV0019	PROTOCOL	5732	Electronic Sales	"LG 32"" TV FOR PROTOCOL USE"	
					417.52	CAD	417.52	CAD								
"PARKS, FORESTRY & RECREATION"	3228-6	2014-10-30	2014-11-03	FITNESS DEPOT TORONTO	350.48	CAD	350.48	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P10467	WALLACE EMERSON-PRGM SUPPORT	5941	Sporting Goods Stores	WEIGHT ROOM EQUIP/BARS	
"PARKS, FORESTRY & RECREATION"	3228-7	2014-10-31	2014-11-03	FRESHCO 9783	40.77	CAD	40.77	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P04899	WALLACE EMERSON-SUMMER CAMPS	5411	"Grocery Stores, Supermarkets"	SUPPLIES FOR PROGRAM PARTY	
					391.25	CAD	391.25	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3240-5	2014-11-06	2014-11-07	EARLS KING STREET	61.13	CAD	61.13	CAD	4823	MEALS-OUTSIDE LOC'S	ED0057	BUSINESS & PROFESSIONAL SERVICES	5812	"Eating Places, Restaurants"	BUSINESS MEETING W/ EXTERNAL CLIENTS	
ECONOMIC DEVELOPMENT & CULTURE	3246-3	2014-11-12	2014-11-13	ONTARIO PROFESSIONAL P	727.40	CAD	727.40	CAD	4760	MEMBERSHIP FEES	ED0057	BUSINESS & PROFESSIONAL SERVICES	8699	"Organizations, Membership - Not Elsewher"	**MORE**  MEMBERSHIP RENEWAL FEES	
					788.53	CAD	788.53	CAD								
"PARKS, FORESTRY & RECREATION"	3253-6	2014-11-18	2014-11-19	KROWN	83.62	CAD	83.62	CAD	2401	LUBRICANTS	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	7538	Automotive Service Shops	CABLE LUBE FOR STINGER CRANE	
"PARKS, FORESTRY & RECREATION"	3257-11	2014-11-20	2014-11-21	PRINCESS AUTO	178.16	CAD	178.16	CAD	2710	GENERAL HARDWARE	P12136	ALNESS YARD-FORESTRY-PRUNING REMOVAL	5085	Industrial Supplies Not Elsewhere Classi	SOIL TARP & CHAIN CONNECTORS	
					261.78	CAD	261.78	CAD								
"PARKS, FORESTRY & RECREATION"	3236-3	2014-11-04	2014-11-05	SHOWCASE	50.83	CAD	50.83	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13059	GEN INTRST & CLUBS - EY YOUTH REC STRAT	5311	Department Stores	DIGITAL ANTENNA	
"PARKS, FORESTRY & RECREATION"	3237-9	2014-11-05	2014-11-06	FORTINO'S (QUEEN'S PLA	22.09	CAD	22.09	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KIDS IN KITCHEN COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3260-8	2014-11-20	2014-11-24	WAL-MART # 3740	158.11	CAD	158.11	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P13059	GEN INTRST & CLUBS - EY YOUTH REC STRAT	5411	"Grocery Stores, Supermarkets"	XBOX ONE GAMES FOR YOUTH LOUNGE	
"PARKS, FORESTRY & RECREATION"	3262-2	2014-11-24	2014-11-25	FORTINO'S (QUEEN'S PLA	34.46	CAD	34.46	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	P06535	ELMBANK CC-SOCIAL PRGM	5411	"Grocery Stores, Supermarkets"	KIDS IN KITCHEN COOKING SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3269-5	2014-11-27	2014-11-28	AIRTIME COMMUNICATIONS	220.35	CAD	220.35	CAD	3020	M & E - COMMUNICATIONS	P05093	ELMBANK CC-SUMMER CAMPS	5732	Electronic Sales	REPLACEMENT RADIO FOR TDSB	
					485.84	CAD	485.84	CAD								
LONG TERM CARE HOMES	3236-4	2014-11-04	2014-11-05	KEY SOLUTIONS	548.66	CAD	548.66	CAD	2082	HEALTH & SAFETY SUPPLIES	D3B144	CASTLEVIEW WYCHWOOD-NS-NA	7393	"Detective Agencies, Protective Agencies,"	CALL BELL REPAIRS	
LONG TERM CARE HOMES	3240-6	2014-11-06	2014-11-07	JOERNS HEALTHCARE	"2,208.00"	CAD	"2,208.00"	CAD	2690	BEDDING	D3B144	CASTLEVIEW WYCHWOOD-NS-NA	5047	Laboratory/Medical/Dental/Ophthalmic Hos	BEDDING-MATTRESS	
LONG TERM CARE HOMES	3252-4	2014-11-17	2014-11-18	CULLIGAN WATER	426.79	CAD	426.79	CAD	4699	REPAIRS AND MAINTENANCE - OTHER	D3B061	CASTLEVIEW WYCHWOOD-MT-OA	5999	Miscellaneous and Specialty Retail Store	**MORE**  SALT FOR WATER SOLUTION	
LONG TERM CARE HOMES	3260-9	2014-11-21	2014-11-24	LOBLAWS #029	14.36	CAD	14.36	CAD	2741	FOOD COSTS	D3B032	CASTLEVIEW WYCHWOOD-FN-RF	5411	"Grocery Stores, Supermarkets"	TOFU FOR VEGETARIAN RESIDENTS	
					"3,197.81"	CAD	"3,197.81"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-8	2014-10-30	2014-11-03	COLLINS AUTOMOTIVE PAR	119.60	CAD	119.60	CAD	2401	LUBRICANTS	P10186	C-REC SUPER2-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	OIL	
"PARKS, FORESTRY & RECREATION"	3228-9	2014-10-31	2014-11-03	ALPINE LAWN   GARDEN E	252.76	CAD	252.76	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	SPROCKET KIT	
"PARKS, FORESTRY & RECREATION"	3236-5	2014-11-03	2014-11-05	JB   D COMPANY LTD	206.79	CAD	206.79	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	LID 16 INCH	
"PARKS, FORESTRY & RECREATION"	3236-6	2014-11-04	2014-11-05	CROSSTOWN BATTERY SALE	156.15	CAD	156.15	CAD	2130	PARTS - MOBILE EQUIPMENT	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5533	"Automotive Parts, Accessories Stores"	BATTERY	
"PARKS, FORESTRY & RECREATION"	3237-10	2014-11-04	2014-11-06	COLLINS AUTOMOTIVE PAR	62.65	CAD	62.65	CAD	2401	LUBRICANTS	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5533	"Automotive Parts, Accessories Stores"	FLUID OIL	
"PARKS, FORESTRY & RECREATION"	3237-11	2014-11-04	2014-11-06	COLLINS AUTOMOTIVE PAR	146.24	CAD	146.24	CAD	2401	LUBRICANTS	P03651	TECH SERV. 2-FACILITIES MAIN/CONST	5533	"Automotive Parts, Accessories Stores"	OIL FILTER	
"PARKS, FORESTRY & RECREATION"	3237-12	2014-11-05	2014-11-06	ALPINE LAWN   GARDEN E	250.52	CAD	250.52	CAD	2130	PARTS - MOBILE EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	CLUTCH	
"PARKS, FORESTRY & RECREATION"	3240-7	2014-11-05	2014-11-07	COLLINS AUTOMOTIVE PAR	106.58	CAD	106.58	CAD	2130	PARTS - MOBILE EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	AUTO CHOKE	
"PARKS, FORESTRY & RECREATION"	3240-8	2014-11-06	2014-11-07	ALPINE LAWN   GARDEN E	215.22	CAD	215.22	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	BLADE ROTOR	
"PARKS, FORESTRY & RECREATION"	3240-9	2014-11-06	2014-11-07	INTERLINE WHOLESALE HA	52.79	CAD	52.79	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5072	Hardware Equipment and Supplies	SCREWS	
"PARKS, FORESTRY & RECREATION"	3242-6	2014-11-07	2014-11-10	ALPINE LAWN   GARDEN E	649.63	CAD	649.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	DRIVE TUBE ASM	
"PARKS, FORESTRY & RECREATION"	3243-12	2014-11-10	2014-11-12	ALPINE LAWN   GARDEN E	17.63	CAD	17.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	E CLIP	
"PARKS, FORESTRY & RECREATION"	3243-13	2014-11-10	2014-11-12	ALPINE LAWN   GARDEN E	36.05	CAD	36.05	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	NEEDLE CAGE	
"PARKS, FORESTRY & RECREATION"	3246-4	2014-11-12	2014-11-13	ALPINE LAWN   GARDEN E	51.74	CAD	51.74	CAD	2401	LUBRICANTS	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	OIL SEAL	
"PARKS, FORESTRY & RECREATION"	3250-13	2014-11-13	2014-11-17	COLLINS AUTOMOTIVE PAR	37.86	CAD	37.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	SPARK PLUG	
"PARKS, FORESTRY & RECREATION"	3250-14	2014-11-14	2014-11-17	COLLINS AUTOMOTIVE PAR	36.16	CAD	36.16	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	SPARK PLUG	
"PARKS, FORESTRY & RECREATION"	3250-15	2014-11-14	2014-11-17	COLLINS AUTOMOTIVE PAR	37.18	CAD	37.18	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	SPARK PLUG	
"PARKS, FORESTRY & RECREATION"	3250-16	2014-11-14	2014-11-17	COLLINS AUTOMOTIVE PAR	26.50	CAD	26.50	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00830	TECH SERV. 1-FLEET EQUIP	5533	"Automotive Parts, Accessories Stores"	SPARK PLUG	
"PARKS, FORESTRY & RECREATION"	3252-5	2014-11-17	2014-11-18	ALPINE LAWN   GARDEN E	153.39	CAD	153.39	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	CARBURATOR	
"PARKS, FORESTRY & RECREATION"	3252-6	2014-11-17	2014-11-18	ALPINE LAWN   GARDEN E	63.05	CAD	63.05	CAD	2401	LUBRICANTS	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	CHAIN OIL	
"PARKS, FORESTRY & RECREATION"	3253-7	2014-11-18	2014-11-19	ALPINE LAWN   GARDEN E	14.63	CAD	14.63	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5261	Lawn and Garden Supply Stores	BRAKE STRAP	
"PARKS, FORESTRY & RECREATION"	3256-6	2014-11-19	2014-11-20	ALPINE LAWN   GARDEN E	352.46	CAD	352.46	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5261	Lawn and Garden Supply Stores	BAR CHAIN	
"PARKS, FORESTRY & RECREATION"	3256-7	2014-11-18	2014-11-20	COLLINS AUTOMOTIVE PAR	-37.86	CAD	-37.86	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5533	"Automotive Parts, Accessories Stores"	REFUND ON SPARK PLUG	
"PARKS, FORESTRY & RECREATION"	3257-12	2014-11-20	2014-11-21	ALPINE LAWN   GARDEN E	106.74	CAD	106.74	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00264	E-CENTRAL2-TURF&HORT	5261	Lawn and Garden Supply Stores	CARBURATOR	
"PARKS, FORESTRY & RECREATION"	3260-10	2014-11-21	2014-11-24	COLLINS AUTOMOTIVE PAR	47.78	CAD	47.78	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P10186	C-REC SUPER2-PRGM SUPPORT	5533	"Automotive Parts, Accessories Stores"	FUSES	
"PARKS, FORESTRY & RECREATION"	3262-3	2014-11-24	2014-11-25	FASTENAL CANADA02ONTO7	43.26	CAD	43.26	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00038	E-FIELD SERV. 1-PRGM SUPPORT	5085	Industrial Supplies Not Elsewhere Classi	ALUM SLEEVE	
"PARKS, FORESTRY & RECREATION"	3264-9	2014-11-25	2014-11-26	INTERLINE WHOLESALE HA	32.43	CAD	32.43	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5072	Hardware Equipment and Supplies	FENDER WASHER	
"PARKS, FORESTRY & RECREATION"	3265-6	2014-11-26	2014-11-27	ALPINE LAWN   GARDEN E	84.69	CAD	84.69	CAD	2130	PARTS - MOBILE EQUIPMENT	P00265	E-CENTRAL3-TURF&HORT	5261	Lawn and Garden Supply Stores	DRIVER TUBE	
"PARKS, FORESTRY & RECREATION"	3269-6	2014-11-27	2014-11-28	DRIVE PRODUCTS	66.48	CAD	66.48	CAD	2120	PARTS - MACHINERY & EQUIPMENT	P00268	E-NORTH2-TURF&HORT	5046	Commercial Equipment Not Elsewhere Class	100 AMP FUSE	
					"3,389.10"	CAD	"3,389.10"	CAD								
"PARKS, FORESTRY & RECREATION"	3228-10	2014-10-31	2014-11-03	TOYS R US #3505	158.12	CAD	158.12	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02461	CUMMER-INSTRL-INDR	5945	"Game, Toy, and Hobby Shops"	PROGRAM SUPPLIES	
"PARKS, FORESTRY & RECREATION"	3229-5	2014-11-04	2014-11-04	LOWES.CA	281.37	CAD	281.37	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02537	CUMMER-LEISURE/PBLC-INDR	5200	Home Supply Warehouse	POOL EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	3237-13	2014-11-06	2014-11-06	LOWES.CA	76.84	CAD	76.84	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02537	CUMMER-LEISURE/PBLC-INDR	5200	Home Supply Warehouse	POOL EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	3240-10	2014-11-05	2014-11-07	SPLASHABLES	197.24	CAD	197.24	CAD	2600	RECREATIONAL & EDUCATIONAL SUPPLIES	P02537	CUMMER-LEISURE/PBLC-INDR	5996	Swimming Pools - Sales and Supplies	POOL EQUIPMENT	
"PARKS, FORESTRY & RECREATION"	3242-7	2014-11-08	2014-11-10	FABRICLAND DISTRIBUTOR	136.14	CAD	136.14	CAD	2010	STATIONERY AND OFFICE SUPPLIES	P02613	CUMMER-PRGM SUPPORT	5949	"Fabric, Needlework, Piece Goods, and Sew"	OFFICE SUPPLIES	
					849.71	CAD	849.71	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3248-4	2014-11-12	2014-11-14	THE WOOL HOUSE	225.15	CAD	225.15	CAD	2670	UNIFORMS	AH0102	HS-MH-PUBLIC/COMMUNITY-MACKENZIE	5949	"Fabric, Needlework, Piece Goods, and Sew"	FABRIC FOR REPRODUCTION CLOTHING	
ECONOMIC DEVELOPMENT & CULTURE	3257-13	2014-11-19	2014-11-21	DESIGNER FABRIC OUTLET	70.32	CAD	70.32	CAD	2670	UNIFORMS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5131	"Piece Goods, Notions, and Other Dry Good"	FABRIC AND NOTIONS FOR REPRO COSTUMES	
ECONOMIC DEVELOPMENT & CULTURE	3260-11	2014-11-22	2014-11-24	FABRICLAND DISTRIBUTOR	63.34	CAD	63.34	CAD	2670	UNIFORMS	AH0101	HS-MH-PUBLIC/COMMUNITY-FORT YORK	5949	"Fabric, Needlework, Piece Goods, and Sew"	NOTIONS FOR MAKING REPRO CLOTHING	
					358.81	CAD	358.81	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3243-14	2014-11-10	2014-11-12	METRO #759	46.40	CAD	46.40	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"RAISINS, FLOUR, SUGAR, EGGS, BUTTER, MILK"	
ECONOMIC DEVELOPMENT & CULTURE	3260-12	2014-11-21	2014-11-24	METRO #759	15.55	CAD	15.55	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5411	"Grocery Stores, Supermarkets"	"ORANGE, APPLES, LEMONS"	
ECONOMIC DEVELOPMENT & CULTURE	3265-7	2014-11-25	2014-11-27	CDN TIRE STORE #00600	12.97	CAD	12.97	CAD	2750	FOOD & NON-ALCOHOLIC BEVERAGES	AH0097	HS-MH-PUBLIC/COMMUNITY-TODMORDEN	5200	Home Supply Warehouse	STRING AND JARS FOR BAKING WORKSHOP	
					74.92	CAD	74.92	CAD								
"PARKS, FORESTRY & RECREATION"	3229-6	2014-11-03	2014-11-04	NO FRILLS MARIO   SELI	2.58	CAD	2.58	CAD	2710	GENERAL HARDWARE	P11966	FACILITY OPERATIONS - OURLAND	5411	"Grocery Stores, Supermarkets"	DISTILLED WATER FOR FLOOR SCRUBBER BATTERIES	
"PARKS, FORESTRY & RECREATION"	3229-7	2014-11-03	2014-11-04	MARCHANT'S SCHOOL SPOR	333.29	CAD	333.29	CAD	2601	DUR REC & EDUC SUPP	P05112	OURLAND CC-SUMMER CAMPS	5941	Sporting Goods Stores	VOLLEYBALL POLES	
"PARKS, FORESTRY & RECREATION"	3237-14	2014-11-04	2014-11-06	CDN TIRE STORE #00070	321.58	CAD	321.58	CAD	2710	GENERAL HARDWARE	P11966	FACILITY OPERATIONS - OURLAND	5200	Home Supply Warehouse	BATTERIES FOR FLOOR SCRUBBER	
"PARKS, FORESTRY & RECREATION"	3237-15	2014-11-05	2014-11-06	LOWES #03096*	56.48	CAD	56.48	CAD	2710	GENERAL HARDWARE	P06786	OURLAND-PRGM SUPPORT	5200	Home Supply Warehouse	CAMPBELL 120V AC INFLATOR	
"PARKS, FORESTRY & RECREATION"	3242-8	2014-11-06	2014-11-10	RONA ISLINGTON  55410	10.15	CAD	10.15	CAD	2715	PAINT SUPPLIES	P11966	FACILITY OPERATIONS - OURLAND	5251	Hardware Stores	PAINT ROLLER REFILLS	
"PARKS, FORESTRY & RECREATION"	3256-8	2014-11-18	2014-11-20	WAL-MART # 3031	60.88	CAD	60.88	CAD	2099	OTHER OFFICE MATERIAL &MINOR FURNISHING	P06786	OURLAND-PRGM SUPPORT	5310	Discount Stores	ROOM HEATERS	
					784.96	CAD	784.96	CAD								
LONG TERM CARE HOMES	3260-13	2014-11-22	2014-11-24	PARTY CITY #2011	200.92	CAD	200.92	CAD	2999	MISCELLANEOUS MATERIALS & SUPPLIES	D3B083	CASTLEVIEW WYCHWOOD-PS-PS	5947	"Card, Gift, Novelty, and Souvenir Shops"	DECORATIONS FOR RESIDENT UNITS	
					200.92	CAD	200.92	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3228-11	2014-10-31	2014-11-03	FRESHCO 9771	52.33	CAD	52.33	CAD	2740	"CONC, SNACKBAR/GIFTSHOP FOOD ITEMS&SUP"	AH0120	HS-MH-RETAIL-SPADINA	5411	"Grocery Stores, Supermarkets"	SNACK BAR SUPPLIES	
					52.33	CAD	52.33	CAD								
ECONOMIC DEVELOPMENT & CULTURE	3229-8	2014-11-03	2014-11-04	STANLEY MECHANICAL SOL	350.68	CAD	350.68	CAD	2730	LOCKS	AH0030	CD-AM-PROGRAM SUPPORT-METRO HALL	5072	Hardware Equipment and Supplies	KEYS	
					350.68	CAD	350.68	CAD								
